Instance,Permutation,Jobs,Stages,InitialFitness,BestFitness,WorstFitness,AvgFitness,StdDev,FinalFitness,Improvement(%),RPD(%),ExecutionTime_ms,TimePerGen_ms,PopSize,Generations,ConvergenceGen,ConvergencePercent(%),FitnessDiversity,BestChromosome,GAConfig
I69.txt,P69.txt,30,4,3437.0000,2479.0000,2479.0000,2479.0000,83.7346,2479.0000,27.8731,0.0000,3007.0000,6.0140,70,500,260,52.0000,0.0000,[0 6 29 15 11 3 27 25 1 14 20 18 26 16 4 12 17 9 13 10 8 24 22 19 7 5 2 21 23 28],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I70.txt,P70.txt,30,4,3934.0000,2496.0000,2496.0000,2496.0000,98.1342,2496.0000,36.5531,0.0000,3007.0000,6.0140,70,500,144,28.8000,0.0000,[26 29 18 9 16 12 15 22 19 5 3 27 8 24 28 4 14 17 11 10 2 7 1 20 25 6 21 13 0 23],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I71.txt,P71.txt,30,4,2689.0000,1847.0000,1847.0000,1847.0000,87.1329,1847.0000,31.3128,0.0000,3008.0000,6.0160,70,500,267,53.4000,0.0000,[13 27 26 0 28 29 25 5 4 20 1 24 22 12 21 17 10 14 18 15 19 3 8 7 23 6 9 11 2 16],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I72.txt,P72.txt,30,4,3098.0000,2240.0000,2240.0000,2240.0000,94.0433,2240.0000,27.6953,0.0000,3008.0000,6.0160,70,500,202,40.4000,0.0000,[7 9 27 1 19 4 26 15 3 29 20 24 11 22 25 17 23 28 18 12 2 8 0 6 21 13 10 14 5 16],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I73.txt,P73.txt,30,4,3677.0000,2412.0000,2416.0000,2412.9714,86.8611,2412.0000,34.4030,0.0000,3009.0000,6.0180,70,500,353,70.6000,0.0017,[12 14 28 8 19 6 1 2 15 7 22 11 23 16 27 9 20 0 13 3 18 29 4 17 26 21 5 25 24 10],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I74.txt,P74.txt,30,4,3461.0000,2251.0000,2251.0000,2251.0000,108.4000,2251.0000,34.9610,0.0000,3010.0000,6.0200,70,500,173,34.6000,0.0000,[26 8 1 15 13 16 23 27 10 2 18 22 12 7 24 29 20 4 9 28 14 25 19 21 5 17 6 3 11 0],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I75.txt,P75.txt,30,4,3573.0000,2407.0000,2407.0000,2407.0000,113.1789,2407.0000,32.6336,0.0000,3008.0000,6.0160,70,500,133,26.6000,0.0000,[1 0 2 12 4 28 9 22 15 20 23 7 29 25 19 18 27 14 26 10 6 17 24 3 8 13 5 11 16 21],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I76.txt,P76.txt,30,4,3299.0000,1809.0000,1809.0000,1809.0000,81.0484,1809.0000,45.1652,0.0000,3007.0000,6.0140,70,500,231,46.2000,0.0000,[14 18 4 23 3 20 22 13 27 19 17 21 10 25 1 29 11 28 8 24 26 7 0 12 15 2 16 6 5 9],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I77.txt,P77.txt,30,4,3915.0000,2388.0000,2388.0000,2388.0000,92.7164,2388.0000,39.0038,0.0000,3006.0000,6.0120,70,500,339,67.8000,0.0000,[5 8 22 12 15 10 2 24 3 21 0 23 11 29 20 6 16 9 27 4 7 17 18 25 26 14 28 13 1 19],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I78.txt,P78.txt,30,4,3603.0000,2330.0000,2330.0000,2330.0000,83.0247,2330.0000,35.3317,0.0000,3005.0000,6.0100,70,500,76,15.2000,0.0000,[0 4 14 24 12 21 20 9 15 3 8 7 11 6 10 13 23 1 27 22 5 29 28 26 16 17 19 2 25 18],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I79.txt,P79.txt,30,4,3826.0000,1936.0000,1936.0000,1936.0000,95.8854,1936.0000,49.3988,0.0000,3006.0000,6.0120,70,500,296,59.2000,0.0000,[23 18 25 20 0 27 19 29 24 7 9 8 14 28 4 12 13 15 17 22 5 16 2 10 11 21 6 26 3 1],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I80.txt,P80.txt,30,4,3933.0000,2238.0000,2238.0000,2238.0000,88.5150,2238.0000,43.0969,0.0000,3010.0000,6.0200,70,500,271,54.2000,0.0000,[3 26 0 29 22 5 4 18 24 14 11 2 20 23 12 28 9 6 25 1 19 7 10 13 27 8 16 21 17 15],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I81.txt,P81.txt,50,5,5844.0000,2873.0000,2873.0000,2873.0000,359.7528,2873.0000,50.8385,0.0000,3011.0000,6.0220,70,500,139,27.8000,0.0000,[49 44 2 48 6 20 35 11 22 28 0 17 8 4 43 47 45 23 21 13 26 39 30 7 36 42 24 27 1 10 40 29 41 9 37 46 3 33 18 32 31 34 25 14 15 5 12 38 16 19],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
